secs,km,power,hr,cad,alt
916,0,249,180,99,1.2
917,0,254,180,100,1.2
918,0,294,180,101,1.2
919,0,268,180,102,1.2
920,0,256,180,102,1.2
921,0,253,180,102,1.2
922,0,256,180,102,1.2
923,0,258,181,103,1.2
924,0,273,180,103,1
925,0,293,181,104,1
926,0,271,181,106,1
927,0,288,181,106,1
928,0,296,181,108,1
929,0,308,181,109,1
930,0,355,181,112,1
931,0,377,181,115,1
932,0,379,182,118,1
933,0,410,182,121,1
934,0,420,182,121,1
935,0,420,182,126,1
936,0,220,183,126,1
937,0,155,183,118,1
938,0,29,183,118,1
939,0,29,183,118,1
940,0,29,183,87,1
941,0,161,183,98,1
942,0,194,183,96,1
943,0,193,183,96,1
944,0,193,182,95,1
945,0,203,182,94,1
946,0,202,182,94,1
947,0,196,181,94,1
948,0,225,181,94,1
949,0,207,181,94,1
950,0,207,181,93,1
951,0,218,181,94,1
952,0,189,181,93,1.2
953,0,214,181,93,1.2
954,0,193,181,93,1.2
955,0,201,182,93,1.2
956,0,176,182,92,1.2
957,0,236,182,92,1.2
958,0,57,183,93,1.2
959,0,58,183,40,1.2
960,0,237,184,89,1.2
961,0,187,184,90,1.2
962,0,28,185,93,1.2
963,0,29,184,30,1.2
964,0,300,185,30,1.2
965,0,300,185,83,1.2
966,0,230,186,88,1
967,0,238,185,88,1
968,0,238,185,90,1
969,0,193,185,91,1
970,0,213,185,92,1
971,0,219,185,92,1
972,0,231,184,93,1
973,0,218,184,93,1
974,0,224,183,93,1
975,0,207,183,93,1
976,0,216,183,94,1
977,0,212,183,94,1
978,0,227,183,94,1
979,0,217,183,94,1
980,0,217,182,94,1
981,0,231,183,95,1
982,0,196,182,96,1
983,0,197,182,95,1
984,0,190,182,95,1
985,0,209,181,95,1
986,0,179,181,95,1
987,0,217,181,95,1
988,0,230,180,96,1
989,0,216,180,96,1
990,0,191,180,96,1
991,0,158,179,94,1
992,0,160,179,92,1
993,0,235,179,92,1
994,0,210,179,92,1
995,0,230,178,93,1
996,0,229,178,92,1
997,0,244,179,92,1
998,0,244,179,92,1
999,0,244,179,93,1
1000,0,219,180,93,1
1001,0,237,180,94,1
1002,0,226,181,94,1
1003,0,224,181,94,1
1004,0,222,182,94,1
1005,0,222,182,93,1
1006,0,222,183,93,1
1007,0,220,184,93,1
1008,0,216,184,93,1
1009,0,211,184,93,1
1010,0,229,184,93,1
1011,0,218,184,93,1
1012,0,222,184,93,1
